Hour,Avg_Vehicles,Median,Max,Std,Moving_Avg_3
0,367.8791208791209,343.0,593,142.69889317991962,
1,361.35555555555555,360.0,595,127.33838058902823,369.35600325600325
2,378.8333333333333,373.0,595,126.82751712906627,369.32222222222225
3,367.77777777777777,381.0,592,121.5063486368148,378.63703703703703
4,389.3,384.5,596,131.75039816156283,378.4888888888889
5,378.3888888888889,374.0,599,134.63472801441537,377.4185185185185
6,364.56666666666666,351.0,598,139.01532127992868,372.9296296296297
7,375.8333333333333,378.0,599,134.58285531158947,370.1481481481481
8,370.0444444444444,375.0,599,120.5542361146779,493.64074074074074
9,735.0444444444445,743.5,946,118.68198571322428,607.1444444444445
10,716.3444444444444,727.5,944,124.77910019387663,614.3074074074074
11,391.53333333333336,400.5,595,120.51548457551795,492.5740740740741
12,369.84444444444443,372.0,592,123.7817861672974,383.26666666666665
13,388.4222222222222,390.5,590,123.48852266895616,375.01851851851853
14,366.7888888888889,364.0,585,128.09533795378007,377.962962962963
15,378.6777777777778,384.0,595,127.18444783182866,369.4074074074074
16,362.75555555555553,336.0,595,141.61756628733795,373.36296296296297
17,378.65555555555557,374.0,599,122.05130263297883,488.8407407407408
18,725.1111111111111,689.0,949,135.71611518202204,601.3333333333334
19,700.2333333333333,665.5,949,136.34556642277028,596.5370370370371
20,364.26666666666665,356.5,597,131.69208212486436,486.83703703703696
21,396.0111111111111,419.5,599,136.69070264565468,381.23333333333335
22,383.4222222222222,388.5,598,130.1162814240995,385.34444444444443
23,376.6,368.0,599,139.63538394489484,
