DateTime,Junction,Vehicles,ID,Date,Temperature_C,Precipitation_mm,Humidity_pct,Wind_Speed_kmph,Weather_Condition,Event_Name,Event_Type,Is_Holiday,Is_Event,Created_By,Location
2015-11-01 00:00:00,3,114,20151101000,2015-11-01,31.8,0.0,77.7,11.8,Clear,No Event,No Event,0,0,Kappari Vaishnavi,Gachibowli Hyderabad
2015-11-01 01:00:00,2,82,20151101001,2015-11-01,36.8,0.0,58.1,9.0,Clear,No Event,No Event,0,0,Kappari Vaishnavi,Gachibowli Hyderabad
2015-11-01 02:00:00,3,13,20151101002,2015-11-01,31.0,0.0,45.8,6.3,Clear,No Event,No Event,0,0,Kappari Vaishnavi,Gachibowli Hyderabad
2015-11-01 03:00:00,3,83,20151101003,2015-11-01,27.5,0.0,59.7,15.4,Clear,No Event,No Event,0,0,Kappari Vaishnavi,Gachibowli Hyderabad
2015-11-01 04:00:00,1,11,20151101004,2015-11-01,32.8,0.0,69.7,10.9,Clear,No Event,No Event,0,0,Kappari Vaishnavi,Gachibowli Hyderabad
2015-11-01 05:00:00,3,38,20151101005,2015-11-01,28.5,0.0,65.2,10.1,Clear,No Event,No Event,0,0,Kappari Vaishnavi,Gachibowli Hyderabad
2015-11-01 06:00:00,2,41,20151101006,2015-11-01,33.2,2.5,71.3,9.5,Cloudy,No Event,No Event,0,0,Kappari Vaishnavi,Gachibowli Hyderabad
2015-11-01 07:00:00,2,75,20151101007,2015-11-01,32.9,15.6,72.1,8.2,Rainy,No Event,No Event,0,0,Kappari Vaishnavi,Gachibowli Hyderabad
2015-11-01 08:00:00,4,22,20151101008,2015-11-01,29.8,0.0,60.5,12.4,Clear,No Event,No Event,0,0,Kappari Vaishnavi,Gachibowli Hyderabad
2015-11-01 09:00:00,1,68,20151101009,2015-11-01,30.1,0.0,66.8,11.0,Clear,No Event,No Event,0,0,Kappari Vaishnavi,Gachibowli Hyderabad
2015-11-11 00:00:00,2,95,20151111000,2015-11-11,30.2,0.0,64.2,10.8,Clear,Diwali,Public Holiday,1,1,Kappari Vaishnavi,Gachibowli Hyderabad
2015-11-11 18:00:00,3,108,20151111018,2015-11-11,29.5,0.0,70.1,9.2,Clear,Diwali,Public Holiday,1,1,Kappari Vaishnavi,Gachibowli Hyderabad
2016-08-28 08:00:00,2,95,20160828081,2016-08-28,31.2,0.0,62.3,11.2,Clear,Hyderabad Marathon - Gachibowli ORR,Sports Event,0,1,Kappari Vaishnavi,Gachibowli Hyderabad
2016-08-28 09:00:00,2,102,20160828091,2016-08-28,32.5,0.0,58.1,12.5,Clear,Hyderabad Marathon - Gachibowli ORR,Sports Event,0,1,Kappari Vaishnavi,Gachibowli Hyderabad
2016-09-13 18:00:00,1,105,20160913181,2016-09-13,30.5,0.0,68.5,10.5,Clear,Ganesh Nimajjanam - Tank Bund,Public Holiday,1,1,Kappari Vaishnavi,Gachibowli Hyderabad
2016-09-13 19:00:00,1,110,20160913191,2016-09-13,29.8,0.0,72.3,9.8,Clear,Ganesh Nimajjanam - Tank Bund,Public Holiday,1,1,Kappari Vaishnavi,Gachibowli Hyderabad
2017-04-09 14:00:00,3,88,20170409141,2017-04-09,35.2,0.0,45.2,14.2,Clear,IPL Match SRH vs KKR Uppal,Sports Event,0,1,Kappari Vaishnavi,Gachibowli Hyderabad
2017-06-15 09:00:00,2,65,20170615091,2017-06-15,33.8,8.2,82.5,7.8,Rainy,No Event,No Event,0,0,Kappari Vaishnavi,Gachibowli Hyderabad
2017-06-15 18:00:00,2,98,20170615181,2017-06-15,28.5,12.5,88.2,6.5,Rainy,No Event,No Event,0,0,Kappari Vaishnavi,Gachibowli Hyderabad
2017-01-14 10:00:00,4,78,20170114101,2017-01-14,28.2,0.0,62.1,10.2,Clear,Sankranti,Public Holiday,1,1,Kappari Vaishnavi,Gachibowli Hyderabad
